[2026-02-09T10:10:48.546Z] 5:10:48 AM [vite] changed tsconfig file detected: /home/ubuntu/manus-agent-web/tsconfig.json - Clearing cache and forcing full-reload to ensure TypeScript is compiled with updated config values.
[2026-02-09T10:10:48.570Z] 5:10:48 AM [vite] (client) page reload public/.gitkeep
[2026-02-09T10:10:48.571Z] 5:10:48 AM [vite] (client) page reload public/manifest.json
[2026-02-09T10:10:48.571Z] 5:10:48 AM [vite] (client) page reload public/service-worker.js
[2026-02-09T10:10:48.572Z] 5:10:48 AM [vite] (client) page reload public/sw.js
[2026-02-09T10:10:48.572Z] 5:10:48 AM [vite] (client) page reload public/__manus__/debug-collector.js
[2026-02-09T10:10:48.572Z] 5:10:48 AM [vite] (client) page reload index.html
[2026-02-09T10:10:48.573Z] 5:10:48 AM [vite] (client) page reload src/App.tsx
[2026-02-09T10:10:48.573Z] 5:10:48 AM [vite] (client) page reload src/const.ts
[2026-02-09T10:10:48.573Z] 5:10:48 AM [vite] (client) hmr update /src/index.css
[2026-02-09T10:10:48.574Z] 5:10:48 AM [vite] (client) page reload src/main.tsx
[2026-02-09T10:10:48.574Z] 5:10:48 AM [vite] (client) page reload src/__tests__/advancedMobileFeatures.test.ts
[2026-02-09T10:10:48.574Z] 5:10:48 AM [vite] (client) page reload src/__tests__/video-production-workflow.test.ts
[2026-02-09T10:10:48.575Z] 5:10:48 AM [vite] (client) page reload src/_core/hooks/useAuth.ts
[2026-02-09T10:10:48.575Z] 5:10:48 AM [vite] (client) page reload src/components/AIChatBox.tsx
[2026-02-09T10:10:48.575Z] 5:10:48 AM [vite] (client) page reload src/components/AccessibilityFeatures.tsx
[2026-02-09T10:10:48.575Z] 5:10:48 AM [vite] (client) page reload src/components/AccessibilityPanel.tsx
[2026-02-09T10:10:48.576Z] 5:10:48 AM [vite] (client) page reload src/components/ActionLogViewer.tsx
[2026-02-09T10:10:48.576Z] 5:10:48 AM [vite] (client) page reload src/components/AdminApprovalQueue.tsx
[2026-02-09T10:10:48.576Z] 5:10:48 AM [vite] (client) page reload src/components/AdminOverridePanel.tsx
[2026-02-09T10:10:48.577Z] 5:10:48 AM [vite] (client) page reload src/components/AdvancedFilterBuilder.tsx
[2026-02-09T10:10:48.577Z] 5:10:48 AM [vite] (client) page reload src/components/AdvancedFiltering.tsx
[2026-02-09T10:10:48.577Z] 5:10:48 AM [vite] (client) page reload src/components/AdvancedSearch.tsx
[2026-02-09T10:10:48.577Z] 5:10:48 AM [vite] (client) page reload src/components/AgentLayout.tsx
[2026-02-09T10:10:48.578Z] 5:10:48 AM [vite] (client) page reload src/components/AgentNetworkDashboard.tsx
[2026-02-09T10:10:48.578Z] 5:10:48 AM [vite] (client) page reload src/components/AgentStatusIndicator.tsx
[2026-02-09T10:10:48.578Z] 5:10:48 AM [vite] (client) page reload src/components/AnalyticsDashboard.tsx
[2026-02-09T10:10:48.579Z] 5:10:48 AM [vite] (client) page reload src/components/AnalyticsFilter.tsx
[2026-02-09T10:10:48.579Z] 5:10:48 AM [vite] (client) page reload src/components/AnomalyDetectionPanel.tsx
[2026-02-09T10:10:48.579Z] 5:10:48 AM [vite] (client) page reload src/components/AppHeader.tsx
[2026-02-09T10:10:48.580Z] 5:10:48 AM [vite] (client) page reload src/components/AppHeaderEnhanced.tsx
[2026-02-09T10:10:48.580Z] 5:10:48 AM [vite] (client) page reload src/components/ApprovalNotificationCenter.tsx
[2026-02-09T10:10:48.581Z] 5:10:48 AM [vite] (client) page reload src/components/AudioPlayer.tsx
[2026-02-09T10:10:48.581Z] 5:10:48 AM [vite] (client) page reload src/components/AudioVisualizer.tsx
[2026-02-09T10:10:48.581Z] 5:10:48 AM [vite] (client) page reload src/components/BackupManager.tsx
[2026-02-09T10:10:48.581Z] 5:10:48 AM [vite] (client) page reload src/components/BatchOperations.tsx
[2026-02-09T10:10:48.582Z] 5:10:48 AM [vite] (client) page reload src/components/BatchProcessing.tsx
[2026-02-09T10:10:48.582Z] 5:10:48 AM [vite] (client) page reload src/components/BatchVideoProcessor.tsx
[2026-02-09T10:10:48.582Z] 5:10:48 AM [vite] (client) page reload src/components/BookKeeping.tsx
[2026-02-09T10:10:48.583Z] 5:10:48 AM [vite] (client) page reload src/components/BookmarkedConversations.tsx
[2026-02-09T10:10:48.583Z] 5:10:48 AM [vite] (client) page reload src/components/Breadcrumbs.tsx
